"Date","ASXAccum"
2005-04-30,22664.1
2005-05-31,23413.1
2005-06-30,24533.9
2005-07-31,25172.8
2005-08-31,25677.8
2005-09-30,26982.3
2005-10-31,25942.8
2005-11-30,27107.6
2005-12-31,27943.1
2006-01-31,28918.4
2006-02-28,29087.2
2006-03-31,30466.6
2006-04-30,31246
2006-05-31,29776.1
2006-06-30,30405.1
2006-07-31,29881.7
2006-08-31,30877.8
2006-09-30,31288.2
2006-10-31,32718.6
2006-11-30,33475.6
2006-12-31,34711.4
2007-01-31,35345.1
2007-02-28,35920.9
2007-03-31,37103.5
2007-04-30,38176.9
2007-05-31,39185
2007-06-30,39119.1
2007-07-31,38304.2
2007-08-31,39240.5
2007-09-30,41424.1
2007-10-31,42623.8
2007-11-30,41416.7
2007-12-31,40291.2
2008-01-31,35920.2
2008-02-29,35673.6
2008-03-31,34491.9
2008-04-30,36054.8
2008-05-31,36604.8
2008-06-30,33875.3
2008-07-31,32329.8
2008-08-31,33652.1
2008-09-30,30338.8
2008-10-31,26514.5
2008-11-30,24869.9
2008-12-31,24801.3
2009-01-31,23591.6
2009-02-28,22512.8
2009-03-31,24310.04
2009-04-30,25663.58
2009-05-31,26011.84
2009-06-30,27053.61
2009-07-31,29032.28
2009-08-31,30939.49
2009-09-30,32870.39
2009-10-31,32185.68
2009-11-30,32759.73
2009-12-31,33985.86
2010-01-31,31886.25
2010-02-14,32444.34
2010-02-21,32576.06
2010-02-28,33630.74
2010-03-07,34004.17
2010-03-14,34394.66
2010-03-21,34597.78
2010-03-28,34678.82
2010-04-04,34963.98
2010-04-11,35223.57
2010-04-18,34495.42
2010-04-25,33973.06
2010-05-02,31706.15
2010-05-09,32639.88
2010-05-16,30535.25
2010-05-23,31619.72
2010-05-30,31609.67
2010-06-06,32011.06
2010-06-13,32345.3
2010-06-20,31403.4
2010-06-27,30163.22
2010-07-04,31285.31
2010-07-11,31473.37
2010-07-18,31727.08
2010-07-25,31977.26
2010-08-01,32494.63
2010-08-08,31770.56
2010-08-15,31656.11
2010-08-22,31337.66
2010-08-29,32618.94
2010-09-05,32840.69
2010-09-12,33449.3
2010-09-19,33196.03
2010-09-26,33045.21
2010-10-03,33788
2010-10-10,33842.82
2010-10-17,33548.88
2010-10-24,33659.48
2010-10-31,34322.24
2010-11-07,34078.3
2010-11-14,33621.85
2010-11-21,33399.21
2010-11-28,34096.74
2010-12-05,34475
2010-12-12,34600.26
2010-12-19,34751.48
2010-12-26,34518.54
2011-01-02,34226.1
2011-01-09,34928.27
2011-01-16,34594.88
2011-01-23,34734.82
2011-01-30,35373.72
2011-02-06,35534.51
2011-02-13,36016.64
2011-02-20,35386.79
2011-02-27,35706.2
2011-03-06,34170.05
2011-03-13,34040.56
2011-03-20,34926.74
2011-03-27,35808.44
2011-04-03,36390.69
2011-04-10,35740.79
2011-04-17,36194.98
2011-04-24,35527.91
2011-05-01,34942.26
2011-05-08,34772.72
2011-05-15,34999.2
2011-05-22,34649.2
2011-05-29,33959.19
2011-06-05,33804.79
2011-06-12,33232.86
2011-06-19,33459.54
2011-06-26,34077.1
2011-07-03,34549.41
2011-07-10,33204.34
2011-07-17,34164.3
2011-07-24,32841.59
2011-07-31,30472.6
2011-08-07,31005.98
2011-08-14,30578.23
2011-08-21,31445.24
2011-08-28,31846.26
2011-09-04,31567.35
2011-09-11,31270.96
2011-09-18,29426.26
2011-09-25,30239.41
2011-10-02,31405.67
2011-10-09,31729.47
2011-10-16,31248.43
2011-10-23,32846.68
2011-10-30,32302.32
2011-11-06,32631.34
2011-11-13,31733.38
2011-11-20,30273.18
2011-11-27,32581.37
2011-12-04,31940.43
2011-12-11,31608.67
2011-12-18,31517.42
2011-12-25,30879.12
2012-01-01,31274.64
2012-01-08,31939.71
2012-01-15,32273.37
2012-01-22,32644.35
2012-01-29,32361.2
2012-02-05,32341.05
2012-02-12,31970.99
2012-02-19,32993.6
2012-02-26,32887.44
2012-03-04,32471.95
2012-03-11,32974.64
2012-03-18,32960.69
2012-03-25,33472.33
2012-04-01,33356.08
2012-04-08,33383.59
2012-04-15,33717.13
2012-04-22,33682.75
2012-04-29,33949.2
2012-05-06,33160.2
2012-05-13,31391.84
2012-05-20,31260.99
2012-05-27,31599.36
2012-06-03,31601.96
2012-06-10,31552.49
2012-06-17,31481.55
2012-06-24,31904.52
2012-07-01,32402.63
2012-07-08,31813.76
2012-07-15,32724.62
2012-07-22,32807.59
2012-07-29,32899.18
2012-08-05,33334.21
2012-08-12,34103.3
2012-08-19,34163.32
2012-08-26,33981.77
2012-09-02,34161.67
2012-09-09,34708.2
2012-09-16,34877.1
2012-09-23,34723.66
2012-09-30,35575.11
2012-10-07,35514.79
2012-10-14,36183.82
2012-10-21,35406.1
2012-10-28,35317.64
2012-11-04,35555.29
2012-11-11,34568.68
2012-11-18,35182.81
2012-11-25,35929.26
2012-12-02,36294.16
2012-12-09,36548.1
2012-12-16,36931.87
2012-12-23,37313.05
2012-12-30,37732.26
2013-01-06,37620.75
2013-01-13,38113.95
2013-01-20,38625.52
2013-01-27,39311.91
2013-02-03,39738.56
2013-02-10,40244.46
2013-02-17,40311.45
2013-02-24,40932.09
2013-03-03,41384.66
2013-03-10,41360.16
2013-03-17,40167.09
2013-03-24,40160.92
2013-03-31,39556.74
2013-04-07,40546.2
2013-04-14,39886.66
2013-04-21,41225.91
2013-04-28,41490.27
2013-05-05,42178.25
2013-05-12,42077.93
2013-05-19,40478.71
2013-05-26,40093.75
2013-06-02,38561.31
2013-06-09,39001.27
2013-06-16,38570.24
2013-06-23,39163.27
2013-06-30,39484.88
2013-07-07,40562.47
2013-07-14,40547.86
2013-07-21,41118.17
2013-07-28,41727.98
2013-08-04,41253.34
2013-08-11,41753.66
2013-08-18,42059.96
2013-08-25,42231.38
2013-09-01,42467.92
2013-09-08,43143.8
2013-09-15,43624.67
2013-09-22,43885.83
2013-09-29,43070.58
2013-10-06,43262.09
2013-10-13,44011.66
2013-10-20,44548.25
2013-10-27,44754.38
2013-11-03,44924.32
2013-11-10,44944.98
2013-11-17,44411.92
2013-11-24,44285.13
2013-12-01,43169.43
2013-12-08,42441.6
2013-12-15,43830.59
2013-12-22,44400.32
2013-12-29,44617.46
2014-01-05,44302.95
2014-01-12,44249.42
2014-01-19,43707.86
2014-01-26,43283.12
2014-02-02,43114.22
2014-02-09,44705.2
2014-02-16,45510.83
